PageURL,TableHeader
http://localhost:8080/oshaiger-bgsoft/admin/purchase/order_returns,Total after discount
http://localhost:8080/oshaiger-bgsoft/admin/purchase/order_returns,Date created
http://localhost:8080/oshaiger-bgsoft/admin/purchase/order_returns,Status
http://localhost:8080/oshaiger-bgsoft/admin/purchase/debit_notes,Debit Note Number
http://localhost:8080/oshaiger-bgsoft/admin/purchase/debit_notes,Debit Note Date
http://localhost:8080/oshaiger-bgsoft/admin/purchase/debit_notes,Vendors
http://localhost:8080/oshaiger-bgsoft/admin/purchase/debit_notes,Status
http://localhost:8080/oshaiger-bgsoft/admin/purchase/debit_notes,Reference #
http://localhost:8080/oshaiger-bgsoft/admin/purchase/debit_notes,Amount
http://localhost:8080/oshaiger-bgsoft/admin/purchase/debit_notes,Remaing Amount
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Department
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Project
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Service category
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Vendors
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Contract description
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Tender Value
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Payment amount
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Payment cycle
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Payment terms
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Start date
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,End date
http://localhost:8080/oshaiger-bgsoft/admin/purchase/contracts,Status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Delivery docket code
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Supplier name
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Buyer
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Commercial Invoice
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Voucher Date
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Total tax amount
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Total goods value
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Value of inventory
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Total payment
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_purchase,Status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,Inventory delivery voucher code
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,Customer name
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,Voucher Date
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,Invoices
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,to
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,Address
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,HR code
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,Status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_delivery,Delivery status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_internal_delivery,Internal delivery note
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_internal_delivery,Deliverer
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_internal_delivery,Added from
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_internal_delivery,Date created
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_internal_delivery,Total amount
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_internal_delivery,Status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/loss_adjustment,Type
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/loss_adjustment,Time (lost or adjusted )
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/loss_adjustment,Date created
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/loss_adjustment,Status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/loss_adjustment,Reason
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/loss_adjustment,creator
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/loss_adjustment,Options
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Packing list number
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Customer name
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Dimension
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Volume (m3)
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Total amount
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Discount total
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Total after discount
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Date created
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_packing_list,Delivery status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,Order return number
